"centroid_id","all_spp_cpue_2020_std","all_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,0.0353514518068791,"M",0.826877780235302,"H",-0.656942026744625,"L",0.0436597752008105,"H",6.67232612880089,"H",0.0223514510542732,"H",0.315795663239893,"H",0.0235650980072523,"M",0,"M",0.285714285714286,"H",0,"M",0,"M",0,"M","medium risk"
2,-0.196408366364838,"M",0.0909710657719656,"M",-0.111511029734798,"L",-0.18168357848028,"M",1.42885680566879,"H",-0.309170504057484,"M",-0.451707258959266,"L",-0.200085012890993,"M",0.146341463414634,"H",0.0731707317073171,"H",0.24390243902439,"H",0,"M",0.0975609756097561,"H","medium risk"
3,-0.43751829405594,"L",0.366226749359393,"M",-1.08424454264465,"L",0.0769691827592849,"H",2.45726462422327,"H",-0.255020859894534,"M",-0.689541903260766,"L",-0.311774676722375,"M",0,"M",0,"M",0,"M",0,"M",0,"M","medium risk"
4,4.21042287524311,"H",-0.300701037151634,"L",-0.584197759596811,"L",-0.267245809039687,"L",-0.239983825960238,"M",-0.228366436504673,"M",-0.719826699976855,"L",-0.521639646018321,"L",0.0277777777777778,"H",0.611111111111111,"H",0,"M",0,"M",0.194444444444444,"H","low risk"
5,-0.417973355809341,"L",1.80998256456835,"H",-1.07847317286343,"L",-0.287038962050515,"L",-0.104285195239231,"M",-0.246040800617505,"M",-0.343346334548034,"L",2.30296319431959,"H",0.043956043956044,"H",0.032967032967033,"H",0,"M",0,"M",0,"M","medium risk"
6,-0.490874419178652,"L",-0.750216170187811,"L",0.570492991036798,"M",0.209533829923775,"H",-0.375335754128446,"M",-0.277283812338865,"M",-0.752596313392008,"L",-0.777027393554226,"L",0,"M",1,"H",0,"M",0,"M",0,"M","medium risk"
7,-0.272286796457,"M",0.556718389058981,"M",-1.46441939039099,"L",-0.295970440740474,"L",-0.284235663324278,"M",-0.303055764304643,"M",-0.67116327064071,"L",-0.0628754737328415,"M",0.0694444444444444,"H",0.0138888888888889,"H",0,"M",0,"M",0.0416666666666667,"H","medium risk"
8,-0.552895327404588,"L",-0.863694049376353,"L",1.16113862188996,"H",-0.175479757703701,"M",-0.321016870451719,"M",-0.220584321028692,"M",0.833890773901968,"H",-0.306714468257499,"M",0.0416666666666667,"H",1,"H",0.0416666666666667,"H",0,"M",0.125,"H","high risk"
9,-0.012887428707733,"M",0.913141442368059,"H",0.0608192672942108,"M",-0.101844556827965,"M",0.648988012729526,"H",2.8798189204999,"H",-0.00650217999281087,"M",0.41699561677029,"H",0.666666666666667,"H",0,"M",0,"M",0,"M",0.222222222222222,"H","medium risk"
10,-0.45453445211839,"L",-0.982746321928805,"L",0.62010405742494,"M",0.526856063822446,"H",-0.388476254332802,"M",-0.310226020017343,"M",-0.815753035956279,"L",-0.85413825736036,"L",0.024390243902439,"H",0,"M",0,"M",0,"M",0,"M","medium risk"
11,-0.616208573710018,"L",-1.39860475389291,"L",1.14732436700709,"H",9.13455149719487,"H",-0.521591502617178,"L",-0.392866438435991,"L",-1.75679517533755,"L",-1.01894441346941,"L",0,"M",0,"M",0,"M",0,"M",0,"M","low risk"
12,0.951960805475657,"H",2.53297514495526,"H",-1.11441064960852,"L",-0.410920775897876,"L",-0.492157497097112,"L",-0.269931629300363,"M",-0.27694206682861,"M",3.12950593133165,"H",0.51063829787234,"H",0.0851063829787234,"H",0.0638297872340425,"H",0,"M",0,"M","high risk"
13,0.0200532040710631,"M",-0.0507176508087547,"M",-0.87099293668406,"L",-0.239131239407229,"M",-0.395794263019115,"M",-0.320851452383396,"M",-0.759160690213148,"L",-0.625732032992709,"L",0.0769230769230769,"H",0.102564102564103,"H",1,"H",0,"M",0,"M","medium risk"
14,-0.422436546722765,"L",1.35365354260785,"H",-1.15912824808492,"L",-0.289430795129501,"L",-0.366687125729452,"M",-0.274940576334526,"M",-0.397179885156091,"L",1.24117777106863,"H",0.116504854368932,"H",0,"M",0,"M",0,"M",0,"M","medium risk"
15,-0.468125955881764,"L",-0.321897437049005,"L",0.891344510849922,"M",-0.0830384707542473,"M",-0.460330490605715,"L",-0.304226245087616,"M",-0.186097655565339,"M",-0.430889619814117,"L",0.125,"H",1,"H",1,"H",0,"M",0,"M","medium risk"
16,-0.277031080787748,"M",-0.36939271304131,"L",-0.471305066054611,"L",-0.0593116091996333,"M",-0.324282152859247,"M",-0.265260562248004,"M",-0.832603042791202,"L",-0.805266789704105,"L",0,"M",0.0967741935483871,"H",0.129032258064516,"H",0,"M",1,"H","medium risk"
17,-0.551017408315488,"L",-1.12410223521596,"L",1.1793286163279,"H",-0.190494113936038,"M",-0.477647485599455,"L",-0.322260108739274,"M",1.48269398048022,"H",-0.555323249938477,"L",0,"M",0,"M",0.146067415730337,"H",0,"M",0,"M","medium risk"
