"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,0.158782908495066,"H",0.826877780235302,"H",-0.656942026744625,"L",0.0436597752008105,"H",6.67232612880089,"H",0.0223514510542732,"H",0.315795663239893,"H",0.0235650980072523,"M",0,"M",0.285714285714286,"H",0,"M",0,"M",0,"M","high risk"
2,3.22976335864741,"H",-0.00975646421605231,"M",-0.758041402535539,"L",-0.0727403988310889,"M",-0.353514103566879,"M",-0.176422397433284,"M",-0.65253838084359,"L",-0.539573448440481,"L",0,"M",0,"M",0.0666666666666667,"H",0,"M",0.4,"H","medium risk"
3,-0.164758547091854,"M",-0.207948139860766,"L",-0.0971370706836235,"L",-0.0949862509940548,"M",1.36041376545195,"H",-0.328487119498325,"L",-0.586502137005388,"L",-0.497157730609823,"L",0.181818181818182,"H",0,"M",0.454545454545455,"H",0,"M",0.181818181818182,"H","low risk"
4,5.73841449113454,"H",0.780227594527284,"H",-0.666977985295949,"L",-0.136785003706375,"M",-0.081182011665412,"M",-0.0981330503602792,"H",-0.158527307909062,"M",0.335255717738713,"M",0.05,"H",0.1,"H",0,"M",0,"M",0,"M","medium risk"
5,-0.538873596362876,"L",1.7752847638793,"H",-1.06863237866542,"L",-0.292762499208377,"L",-0.199034510094479,"M",-0.275888659284832,"M",-0.344767697128118,"L",2.1123439068034,"H",0.138888888888889,"H",0.0185185185185185,"H",0,"M",0,"M",0,"M","medium risk"
6,-0.349689938146573,"L",-0.952572927073483,"L",0.850760691272327,"M",0.445547350607258,"H",-0.380160382678464,"M",-0.278543300489002,"M",-0.768866927456432,"L",-0.792574333361824,"L",0,"M",1,"H",0,"M",0,"M",0.103448275862069,"H","medium risk"
7,-0.482088211412334,"L",0.894391806834272,"H",-1.62636625665172,"L",-0.34027099759656,"L",-0.437110760551849,"L",-0.17971239747191,"M",-0.577251034854939,"L",1.15691005027008,"H",0.0892857142857143,"H",0.0357142857142857,"H",0,"M",0,"M",0,"M","low risk"
8,-0.104519872296405,"M",-0.85258641126035,"L",1.14723112390912,"H",-0.168187430671572,"M",-0.247286443433615,"M",-0.21336012513968,"M",0.820912345262965,"H",-0.27410920400645,"M",0.0454545454545455,"H",1,"H",0,"M",0,"M",0,"M","medium risk"
9,0.889810956774061,"H",0.914609605841984,"H",0.0986064444872033,"M",-0.119419718033734,"M",0.587464214007479,"H",2.71151432878033,"H",0.000552602349093246,"M",0.406405680237444,"H",0.7,"H",0,"M",0,"M",0,"M",0.2,"H","high risk"
10,-0.284079162705346,"M",-0.582803358108026,"L",-0.0271483269940565,"L",-0.0280632497356408,"H",-0.350796743954335,"M",-0.294139321892267,"M",-0.81489183318587,"L",-0.808487521062307,"L",0,"M",0,"M",0,"M",0,"M",0,"M","medium risk"
11,-0.338261113171,"L",-1.39860475389291,"L",1.14732436700709,"H",9.13455149719487,"H",-0.521591502617178,"L",-0.392866438435991,"L",-1.75679517533755,"L",-1.01894441346941,"L",0,"M",0,"M",0,"M",0,"M",0,"M","low risk"
12,-0.577921235670927,"L",2.51773747412977,"H",-1.14489393479404,"L",-0.414688833193209,"L",-0.492883993926428,"L",-0.241565475121175,"M",-0.282692678596004,"M",3.3011516489864,"H",0.425531914893617,"H",0.106382978723404,"H",0.0638297872340425,"H",0,"M",0,"M","high risk"
13,-0.0985138262483568,"M",0.221938385755754,"M",-0.702974593801744,"L",-0.290947390695759,"L",-0.224691020822641,"M",-0.317456245242943,"M",-0.571033155194728,"L",-0.332130973150383,"M",0.0425531914893617,"H",1,"H",0.0212765957446809,"H",0,"M",0.0212765957446809,"H","medium risk"
14,-0.525270834783939,"L",1.27214203176713,"H",-0.849273876869905,"L",-0.277424199256365,"L",-0.393304997443316,"M",-0.233277437888591,"M",-0.267710359024575,"M",1.04527240325847,"H",0,"M",0.0517241379310345,"H",0.137931034482759,"H",0,"M",0,"M","medium risk"
15,-0.101545216479273,"M",-0.901186442617198,"L",1.22585490392214,"H",-0.0813334030775625,"M",0.100135246487295,"H",-0.307415014355823,"M",0.555990663793142,"H",-0.420268643218957,"L",0,"M",0.8,"H",0,"M",0,"M",1,"H","medium risk"
16,-0.383011866660766,"L",-0.332576023283879,"L",-0.59368565977137,"L",-0.165600581186574,"M",-0.389310235393819,"M",-0.23475662888739,"M",-0.818676779122676,"L",-0.75018345718266,"L",0.03125,"H",0.15625,"H",0.125,"H",0,"M",1,"H","low risk"
17,-0.312682046956457,"L",-1.11976936088138,"L",1.1768411843345,"H",-0.202392995093549,"M",-0.468335562696878,"L",-0.296748230111482,"M",1.49945458427142,"H",-0.54948514531801,"L",0,"M",0.010752688172043,"H",0.150537634408602,"H",0,"M",0,"M","medium risk"
18,-0.22596871863197,"M",-0.683191388764214,"L",0.889769304008074,"M",-0.31034657275929,"L",-0.238942168470845,"M",-0.114304665934758,"H",2.05145513480836,"H",-0.297425342689084,"M",0,"M",0.01,"H",0.03,"H",0,"M",0,"M","medium risk"
19,-0.334541893431542,"L",-0.981589991005727,"L",1.08623684446308,"H",-0.184400997830321,"M",-0.374866243562254,"M",-0.251110459848623,"M",1.60411212009167,"H",-0.470329175987258,"L",0,"M",0,"M",0.04,"H",0,"M",1,"H","medium risk"
20,-0.249717903999886,"M",0.419068235140195,"M",-1.00907307458119,"L",0.221625828061096,"H",2.63453190732866,"H",-0.252218936784714,"M",-0.651832741175491,"L",-0.257385971542262,"M",0,"M",0.0384615384615385,"H",0,"M",0,"M",0,"M","medium risk"
21,3.03091819910948,"H",1.13743201434699,"H",-0.745916602788881,"L",-0.170293477312277,"M",0.373592549300881,"H",-0.273435219085087,"M",-0.256244687409268,"M",0.584035538777136,"H",0.111111111111111,"H",0.111111111111111,"H",0,"M",0,"M",0,"M","medium risk"
22,-0.323853318082612,"L",-0.00582739202013577,"M",-1.00543461643829,"L",-0.266685123158885,"L",-0.401592834282372,"M",-0.287872003731367,"M",-0.74644161405082,"L",-0.539141318819683,"L",0.108108108108108,"H",0.108108108108108,"H",1,"H",0,"M",0,"M","medium risk"
23,-0.435194320309437,"L",-1.27946306296782,"L",1.26795955318987,"H",1.08867655416276,"H",-0.492874878523485,"L",-0.373923630521285,"L",1.06884701342628,"H",-0.672916296326529,"L",0,"M",0,"M",0,"M",0,"M",0.1,"H","low risk"
24,-0.265545554012246,"M",-0.864139621636991,"L",0.476685557309682,"M",1.24728059610717,"H",-0.45502970896172,"L",-0.328930446561088,"L",-0.889717652199296,"L",-0.84322450920807,"L",0,"M",0,"M",0,"M",0,"M",0.846153846153846,"H","medium risk"
25,-0.272966227361922,"M",-0.103345521186534,"M",-0.948431147792569,"L",-0.245487231834181,"L",-0.363167068903809,"M",-0.213507426011271,"M",-0.780727593313194,"L",-0.62126587731267,"L",0.0975609756097561,"H",0,"M",0,"M",0,"M",0,"M","medium risk"
26,-0.0536498560805707,"M",-0.684052655449961,"L",0.7386915858756,"M",-0.136195832298745,"M",-0.30511203555205,"M",-0.308317655392061,"M",-0.583066489178083,"L",-0.784454072995204,"L",0.111111111111111,"H",0.166666666666667,"H",1,"H",0.0555555555555556,"H",0.166666666666667,"H","medium risk"
