"centroid_id","all_spp_cpue_2020_std","all_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,-0.121121838249682,"M",0.626048233746887,"M",-0.413342080566384,"L",-0.046435648921441,"H",6.48352695910322,"H",0.0289073485671404,"H",0.790377785471084,"H",-0.057687149570972,"M",0,"M",0.222222222222222,"H",0,"M",0,"M",0,"M","medium risk"
2,-0.477539080879753,"L",-0.881063308241576,"L",0.891108132775743,"M",0.166554781974489,"H",-0.399273201787066,"M",-0.143887298661323,"H",-0.506471706948837,"L",-0.757921037106582,"L",0.0290697674418605,"H",0,"M",0.063953488372093,"H",0.0232558139534884,"H",0.00581395348837209,"H","high risk"
3,-0.448465739025302,"L",-1.08671060898776,"L",1.09845937113107,"H",2.18635807976229,"H",-0.420588746856766,"L",-0.159843912031543,"M",-0.793167241610204,"L",-0.818934313642661,"L",0,"M",0.0461538461538462,"H",0,"M",0,"M",0.138461538461538,"H","low risk"
4,3.89957343577406,"H",-0.24895774955891,"L",-0.579540866911695,"L",-0.184377028991891,"M",-0.19259019805717,"M",0.191478450081334,"H",-0.678471282424187,"L",-0.461348926805935,"L",0.0192307692307692,"H",0.557692307692308,"H",0,"M",0,"M",0.173076923076923,"H","high risk"
5,-0.431133554852718,"L",1.58988197312526,"H",-1.10524114478381,"L",-0.277881162271024,"L",-0.210669281918633,"M",-0.27030363735482,"M",-0.365408410377966,"L",1.79049482957038,"H",0.0755813953488372,"H",0.0174418604651163,"H",0,"M",0,"M",0,"M","medium risk"
6,-0.402981856310341,"M",-0.788716036513104,"L",0.643196197664942,"M",0.231715333283301,"H",-0.398889262269517,"M",-0.233517506957022,"M",-0.737658503531487,"L",-0.781000131488876,"L",0.0188679245283019,"H",1,"H",0.0566037735849057,"H",0,"M",0.0943396226415094,"H","medium risk"
7,-0.0018255581409986,"M",0.540563447680161,"M",-1.38317258903866,"L",-0.307536489815851,"L",-0.343362080483172,"M",-0.240991811652902,"M",-0.61422822170493,"L",0.127924942967131,"M",0.075,"H",0.1,"H",0.08125,"H",0,"M",0.03125,"H","medium risk"
8,-0.045039220798734,"M",-0.567388854080452,"L",0.953888852847769,"M",-0.149532460711612,"M",0.158997009446069,"H",5.97081613627704,"H",1.01674486775055,"H",-0.347441676763682,"M",0.037037037037037,"H",0.148148148148148,"H",0,"M",0,"M",0.296296296296296,"H","medium risk"
9,-0.172810196150441,"M",-0.212939523017436,"L",0.644927955792252,"M",-0.162805319747995,"M",-0.0802596390501371,"M",2.84380269956423,"H",0.420235865447584,"H",-0.207935833237273,"M",0.12,"H",0.18,"H",0.12,"H",0,"M",0.1,"H","medium risk"
10,-0.583933470671846,"L",-0.927821859512615,"L",1.24437749706694,"H",-0.0499875268374609,"H",-0.305672995133596,"M",-0.228749773613246,"M",-0.00428576782453584,"M",-0.654622314982391,"L",0,"M",0.137254901960784,"H",0.0196078431372549,"H",0,"M",1,"H","medium risk"
11,-0.616208573710018,"L",-1.39860475389291,"L",1.14732436700709,"H",9.13455149719487,"H",-0.521591502617178,"L",-0.392866438435991,"L",-1.75679517533755,"L",-1.01894441346941,"L",0,"M",0,"M",0,"M",0,"M",0,"M","low risk"
12,0.804624835535152,"H",2.50589927428417,"H",-1.1276174204243,"L",-0.410994509256344,"L",-0.491657918136542,"L",-0.25828562045536,"M",-0.28179728456678,"M",3.13189290830267,"H",0.471698113207547,"H",0.0943396226415094,"H",0.0566037735849057,"H",0,"M",0,"M","high risk"
13,-0.219210287007376,"M",-0.220744610977963,"L",-0.512621198704375,"L",-0.15060861758509,"M",-0.257868873747246,"M",-0.258849074743543,"M",-0.763179494151633,"L",-0.698824804418151,"L",0.0566037735849057,"H",0.182389937106918,"H",0.188679245283019,"H",0,"M",0,"M","medium risk"
14,-0.0462546780737131,"M",1.12151949674975,"H",-0.164695233647059,"L",-0.277811916928078,"L",0.186468339629663,"H",-0.165114750241703,"M",0.107732322487799,"M",1.012948774904,"H",0.80672268907563,"H",0.53781512605042,"H",0.092436974789916,"H",0,"M",0.00840336134453781,"H","high risk"
15,-0.43892647144576,"L",-0.395276324610985,"L",0.983282283895114,"H",-0.10870027952186,"M",-0.128155459789222,"M",0.0416492619317273,"H",0.419006469760486,"H",-0.170870228483211,"M",0.010989010989011,"H",0.604395604395604,"H",0.131868131868132,"H",0,"M",0.010989010989011,"H","high risk"
16,-0.345748888671493,"M",-0.451531621425252,"L",-0.24404216379099,"L",-0.00359879093593027,"H",-0.262248631589783,"M",-0.237017816204907,"M",-0.819382805946884,"L",-0.800784837623626,"L",0,"M",0.130434782608696,"H",0.173913043478261,"H",0,"M",1,"H","medium risk"
17,-0.361984253525488,"M",-0.68567150629183,"L",0.911630878262136,"M",-0.312119905147825,"L",-0.0871804449421476,"M",-0.112491272422344,"H",2.06563356524375,"H",-0.296687416329348,"M",0,"M",0.0153846153846154,"H",0.0384615384615385,"H",0,"M",0.0538461538461538,"H","medium risk"
18,-0.49952187019242,"L",-0.167870949720947,"M",0.551980948509402,"M",-0.390407580440397,"L",3.02973331567916,"H",0.372892574050932,"H",2.38146383842213,"H",-0.263790852911692,"M",0,"M",0.0151515151515152,"H",0.227272727272727,"H",0,"M",0.106060606060606,"H","high risk"
