"centroid_id","all_spp_cpue_2020_std","all_spp_cpue_2020_std_sd","all_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,0.237775293393379,0.785520668230408,"H",1.09200496735913,0.488703772910302,"H",-0.942542993938056,0.368966742446591,"L",0.342814071229726,0.582081218888742,"H",3.64280539483855,1.51028862189249,"H",-0.13882239699184,0.276720511980423,"H",-0.45250699761832,0.209400999039344,"L",0.521839127595361,0.643535496936611,"H",0.107142857142857,0.314970394174356,"H",0.142857142857143,0.356348322549899,"H",0,0,"M",0,0,"M",0,0,"M","high attention"
2,1.79737313933167,0.650894633224757,"H",-0.524154118321617,0.364674425600234,"L",-0.00354297066097457,0.48465567512058,"L",-0.0840463419137011,0.430803188231668,"M",-0.295366119888662,0.305411290345908,"M",-0.246145090559558,0.410339437178685,"M",-0.676411826541662,0.278581615358113,"L",-0.708672956335875,0.171261944586811,"L",0.0555555555555556,0.232310684145723,"H",0.694444444444444,0.467176592151157,"H",0,0,"M",0,0,"M",0.222222222222222,0.421637021355784,"H","medium attention"
3,-0.193527315319377,0.490949705362873,"M",0.198651316113271,0.423475008904649,"M",-0.372285002141832,0.586159904276189,"L",-0.149891476983749,0.18663461173005,"M",1.73113516204896,0.592531627733197,"H",-0.264026284403445,0.222844367006539,"M",-0.503613637380783,0.224380628221662,"L",-0.198036071034556,0.430629361688739,"M",0.120689655172414,0.328611443719994,"H",0.0689655172413793,0.255608593705383,"H",0.155172413793103,0.365231199928332,"H",0,0,"M",0.0517241379310345,0.223403795622112,"H","medium attention"
4,4.17282650284154,0.859486805208483,"H",-0.231960035281545,0.549373118623451,"L",-0.635697026211259,0.674954967514414,"L",-0.269405758819929,0.130092866982489,"L",-0.22814071896453,0.398342467117243,"M",0.353526437459927,1.40400033020226,"H",-0.66108104717818,0.296913086806304,"L",-0.433347166594849,0.432797601963658,"L",0.0227272727272727,0.150755672288882,"H",0.5,0.505780538858873,"H",0,0,"M",0,0,"M",0.159090909090909,0.369989429024468,"H","low attention"
5,-0.396151992928444,0.347575591426458,"M",1.81479640831459,0.372535111720758,"H",-1.07325711763322,0.248772826609159,"L",-0.279998317000364,0.122668893464522,"L",-0.0613529105668415,0.531507927357329,"M",-0.240091653763922,0.185042685489677,"M",-0.341997838759441,0.0737727679515069,"M",2.29489154287404,0.406740807448009,"H",0.043010752688172,0.20398095044389,"H",0.032258064516129,0.177642343612212,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
6,-0.137545958893355,0.372594186066829,"M",-0.342094791336394,0.3046722624593,"L",-0.216693352901862,0.421345727842067,"L",-0.146155876691737,0.183691464330034,"M",-0.38846370784588,0.222245748070429,"M",-0.27303029600341,0.155837535159477,"M",-0.763786760072452,0.11769343011411,"L",-0.729906952612212,0.171075506825755,"L",0.0222222222222222,0.149071198499986,"H",1,0,"H",0.0444444444444444,0.208409077139993,"H",0,0,"M",0.0444444444444444,0.208409077139993,"H","medium attention"
7,-0.406606220814198,0.432636344867322,"M",1.33474065374876,0.276989862705687,"H",-1.15815625857606,0.2700279208095,"L",-0.289453159270461,0.0971524217411268,"L",-0.36531782763646,0.261263845730762,"M",-0.278287021071008,0.117286776631558,"M",-0.398299167145829,0.112041420083127,"L",1.21309710713603,0.383427139182611,"H",0.110091743119266,0.314449829398857,"H",0,0,"M",0.00917431192660551,0.0957826285221151,"H",0,0,"M",0,0,"M","medium attention"
8,-0.246440013309431,0.438926760803452,"M",-0.0120597503953355,0.187397832527947,"M",0.865718475184136,0.15854569017098,"M",-0.137298910527164,0.0648097091926238,"M",-0.284436193083957,0.298567364596828,"M",-0.129080140467204,0.315939530143018,"H",0.00796559446899831,0.224481870313598,"M",-0.231024615807241,0.201816078812945,"M",0.0222222222222222,0.149071198499986,"H",0.488888888888889,0.505525029603437,"H",0.288888888888889,0.458367767301552,"H",0,0,"M",0,0,"M","medium attention"
9,-0.581764949874852,0.123613481336647,"L",-1.04250421646891,0.200193673816996,"L",1.32292829680094,0.171952946045042,"H",0.0132865806191633,0.192738354064041,"H",-0.268303494350467,0.401352128268958,"M",-0.26511361435546,0.285445185827437,"M",0.323868867720121,0.332862829824983,"H",-0.573759218630979,0.179123016099962,"L",0,0,"M",0.258064516129032,0.444802722974569,"H",0,0,"M",0,0,"M",1,0,"H","medium attention"
10,-0.495686686178413,0.189838851299859,"L",-0.765438504871815,0.300826740430186,"L",0.832450712533223,0.368550975075175,"M",0.0386590221578779,0.330040052298287,"H",-0.410000111216974,0.186920672884771,"M",-0.277758616571743,0.177967891473962,"M",-0.646752326007444,0.282855591448408,"L",-0.795667255279955,0.141439023248119,"L",0,0,"M",0.138888888888889,0.350736187206101,"H",0.0833333333333333,0.280305955290694,"H",0,0,"M",1,0,"H","medium attention"
