"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,0.289482953284735,"H",1.16658109461056,"H",-0.983008727572495,"L",0.437273624892137,"H",3.95236446601596,"H",-0.105669319679528,"H",-0.462346450694726,"L",0.573093367025509,"H",0.0476190476190476,"H",0.142857142857143,"H",0,"M",0,"M",0,"M","high risk"
2,2.69688180701416,"H",-0.972463859695868,"L",0.954418899580096,"M",0.651224298938715,"H",-0.169663836524052,"M",-0.0834166271105775,"H",0.0727131877864119,"M",-0.584726885329858,"L",0,"M",0,"M",0,"M",0.0555555555555556,"H",0.0555555555555556,"H","medium risk"
3,-0.294356025269527,"M",0.140801760848189,"M",-0.649053816646061,"L",-0.0849066370351424,"M",1.87189548172208,"H",-0.28927116441114,"M",-0.620279266423429,"L",-0.34226597351883,"M",0.0697674418604651,"H",0,"M",0.209302325581395,"H",0,"M",0.0930232558139535,"H","medium risk"
4,5.73841449113454,"H",0.780227594527284,"H",-0.666977985295949,"L",-0.136785003706375,"M",-0.081182011665412,"M",-0.0981330503602792,"H",-0.158527307909062,"M",0.335255717738713,"M",0.05,"H",0.1,"H",0,"M",0,"M",0,"M","medium risk"
5,-0.529395222886534,"L",1.77927521495586,"H",-1.05124018015049,"L",-0.265693700138665,"L",-0.0657763459149039,"M",-0.25892315351833,"M",-0.3403509138739,"M",2.09731300444066,"H",0.119266055045872,"H",0.0275229357798165,"H",0,"M",0,"M",0,"M","medium risk"
6,-0.368989098872534,"L",-0.935205870165657,"L",0.8542162234227,"M",0.447509163482089,"H",-0.368287877707787,"M",-0.267724765369128,"M",-0.755538331461281,"L",-0.778663259083923,"L",0,"M",1,"H",0,"M",0,"M",0,"M","medium risk"
7,-0.530330050156433,"L",1.18446974151331,"H",-1.32157399258208,"L",-0.314507917426325,"L",-0.429799282175449,"L",-0.237065310233176,"M",-0.457434056514889,"L",1.18618109282716,"H",0.0714285714285714,"H",0.0102040816326531,"H",0,"M",0,"M",0,"M","low risk"
8,0.0757488501468263,"H",-0.496914660439616,"L",1.02056254844419,"H",-0.139064785881666,"M",-0.0656909253047829,"M",-0.10966931972649,"H",0.518335340405294,"H",-0.221943066371539,"M",0,"M",1,"H",0,"M",0,"M",0,"M","medium risk"
9,10.3073871709857,"H",-1.16711222928668,"L",1.69052574015704,"H",0.173286695910478,"H",-0.457536997791375,"L",6.36523652552313,"H",0.637406351887561,"H",-0.583009319950347,"L",0,"M",0,"M",0,"M",0,"M",0.5,"H","high risk"
10,-0.195711581523028,"M",-0.709693378987108,"L",0.208755546954063,"M",0.0871236788125071,"H",-0.35710896302187,"M",-0.29688200280794,"M",-0.813292741850546,"L",-0.824927589730258,"L",0.0099009900990099,"H",0,"M",0.0396039603960396,"H",0,"M",0,"M","medium risk"
