"centroid_id","cod_cpue_2020_std","cod_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,0.119932692377921,"H",1.01066545908546,"H",-1.04323035364099,"L",0.559913452291867,"H",4.90255839329745,"H",-0.171993551227441,"M",-0.538297258930961,"L",0.288301078022281,"M",0,"M",0.25,"H",0,"M",0,"M",0,"M","medium risk"
2,2.24193358188482,"H",-0.874432118844219,"L",0.694282256461177,"M",0.546447733495938,"H",-0.30987487401125,"M",-0.129318454572566,"H",-0.303918085202156,"M",-0.676870334877064,"L",0,"M",0,"M",0.0416666666666667,"H",0.0416666666666667,"H",0.125,"H","high risk"
3,-0.0577807212795502,"M",0.203711577954655,"M",-0.440344294433712,"L",-0.0986375342165423,"M",1.65187821915374,"H",-0.273454391579484,"M",-0.524599716188514,"L",-0.228467685695091,"M",0.0757575757575758,"H",0.0606060606060606,"H",0.151515151515152,"H",0,"M",0.0606060606060606,"H","medium risk"
4,6.48554903930539,"H",0.457899873387235,"M",-0.312429049230743,"L",-0.116666031738283,"M",-0.0696502166760625,"M",0.159583841329422,"H",0.118826648129037,"M",0.229906349793039,"M",0.0526315789473684,"H",0.0526315789473684,"H",0,"M",0,"M",0,"M","medium risk"
5,0.369507729701801,"H",1.20086494062711,"H",-0.184122037376739,"L",-0.267689691611903,"L",0.228961012061485,"H",-0.162922551120943,"M",0.121464686302211,"M",1.09223639591304,"H",0.847619047619048,"H",0.552380952380952,"H",0.0571428571428571,"H",0,"M",0.00952380952380952,"H","high risk"
6,-0.0139912400058833,"M",-0.71430410752793,"L",0.368864269032357,"M",0.0428693280155352,"H",-0.397417470894111,"M",-0.291363982493167,"M",-0.751851542586984,"L",-0.781415618532,"L",0.0196078431372549,"H",1,"H",0.0588235294117647,"H",0,"M",0,"M","medium risk"
7,-0.198940538221199,"M",0.436745014820475,"M",-1.58118321520704,"L",-0.318224929093706,"L",-0.377925875361245,"M",-0.165225784398604,"M",-0.681424628638016,"L",0.14000633487715,"M",0.0887096774193548,"H",0.0161290322580645,"H",0.0564516129032258,"H",0,"M",0.00806451612903226,"H","medium risk"
8,-0.0516133587589143,"M",0.043490604400209,"M",0.81507715312707,"M",-0.142362310788647,"M",-0.1927311913477,"M",-0.104424312671904,"H",-0.0181309793314333,"M",-0.218415608568439,"M",0.0909090909090909,"H",0.454545454545455,"H",0.218181818181818,"H",0,"M",0,"M","medium risk"
9,-0.369086950256453,"L",-0.916660481607018,"L",1.31131163183612,"H",-0.0265189958637544,"H",-0.375218237108237,"M",-0.21714042285936,"M",0.0678559383891183,"M",-0.641295099214239,"L",0,"M",0.108108108108108,"H",0,"M",0,"M",1,"H","medium risk"
10,-0.303942818846693,"M",-1.07699610055498,"L",1.08959165373204,"H",1.46677790108333,"H",-0.384382296428945,"M",-0.121693361825701,"H",-0.735922917180303,"L",-0.807306369311585,"L",0,"M",0.163636363636364,"H",0,"M",0,"M",0.127272727272727,"H","medium risk"
11,-0.324026817497758,"M",-1.39860475389291,"L",1.14732436700709,"H",9.13455149719487,"H",-0.521591502617178,"L",-0.392866438435991,"L",-1.75679517533755,"L",-1.01894441346941,"L",0,"M",0,"M",0,"M",0,"M",0,"M","medium risk"
12,-0.39897960951651,"L",2.1375077269609,"H",-1.08740716686774,"L",-0.344705578560528,"L",-0.289019676271001,"M",-0.253831491044278,"M",-0.312551517286449,"M",2.70081664411892,"H",0.239316239316239,"H",0.0512820512820513,"H",0.0256410256410256,"H",0,"M",0,"M","medium risk"
13,-0.166014704696793,"M",-0.112815642890417,"M",-0.921425496801224,"L",-0.210588802592957,"M",-0.377112405822102,"M",-0.214334555476892,"M",-0.781786001089198,"L",-0.629272776919028,"L",0.0975609756097561,"H",0,"M",0.219512195121951,"H",0,"M",0,"M","medium risk"
14,-0.359626236264609,"L",1.26845303859951,"H",-1.14492038387669,"L",-0.301829395740007,"L",-0.386208564826627,"M",-0.234420398114212,"M",-0.384509014643159,"L",1.29126304816396,"H",0.0857142857142857,"H",0.0214285714285714,"H",0.0571428571428571,"H",0,"M",0,"M","high risk"
15,-0.346410645083188,"M",-0.789695278348609,"L",1.04628227744472,"H",-0.127574044372018,"M",0.031826735825763,"H",-0.231161447849705,"M",0.768504406736773,"H",-0.156057168466718,"M",0.0392156862745098,"H",0.647058823529412,"H",0,"M",0,"M",0.0980392156862745,"H","medium risk"
16,-0.33845767998086,"M",-0.215832464825452,"L",-0.814006039858705,"L",-0.227535505386629,"M",-0.36944558281866,"M",-0.236549984346111,"M",-0.802958792866925,"L",-0.687500651520413,"L",0.0344827586206897,"H",0.172413793103448,"H",0.137931034482759,"H",0,"M",1,"H","medium risk"
