"centroid_id","all_spp_cpue_2020_std","all_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,-0.110240283296296,"M",-0.0102644436666667,"L",-0.245424474,"L",-0.0498345485185185,"H",1.89882322659259,"H",-0.306813253592593,"M",-0.563294308148148,"L",-0.391567972481481,"L",0.185185185185185,"H",0.111111111111111,"M",0.37037037037037,"H",0,"M",0.148148148148148,"H","high risk"
2,-0.472153616086957,"L",-0.340947138608696,"L",0.924802408521739,"H",-0.123285383347826,"M",-0.343864421217391,"M",-0.133069219652174,"M",-0.19828273673913,"M",-0.474990352391304,"L",0,"M",0.260869565217391,"M",1,"H",0,"M",0,"M","medium risk"
3,-0.2630515801,"M",-0.9793719479,"L",1.1215134217,"H",0.000597276900000001,"H",-0.3216174012,"M",-0.2553317829,"M",-0.5588223353,"L",-0.7776727432,"L",0.7,"H",0.1,"M",0.2,"H",0.4,"H",0,"M","medium risk"
4,4.16843303975,"H",-0.164866089694444,"L",-0.686356586194445,"L",-0.279963029833333,"L",-0.174942650694444,"M",0.239846966416667,"H",-0.685228347444444,"L",-0.409901738888889,"L",0.0277777777777778,"H",0.611111111111111,"M",0,"M",0,"M",0.194444444444444,"H","low risk"
5,-0.125141562088889,"M",-0.502690975488889,"L",-0.105406649511111,"L",-0.0976115682444444,"M",-0.411596722288889,"L",-0.2819723474,"M",-0.802101941311111,"L",-0.799034178911111,"L",0.0444444444444444,"H",1,"M",0.0444444444444444,"H",0,"M",0.155555555555556,"H","medium risk"
6,-0.587903428380952,"L",-1.01822789657143,"L",1.21021097704762,"H",-0.332478698809524,"L",-0.418618025190476,"L",-0.296887014190476,"M",1.52419146166667,"H",-0.501377722476191,"L",0,"M",0.0476190476190476,"M",1,"H",0,"M",0.0476190476190476,"H","low risk"
7,-0.61620857375,"L",-1.39860475375,"L",1.147324367,"H",9.1345514971875,"H",-0.521591503,"L",-0.3928664381875,"L",-1.7567951753125,"L",-1.0189444135,"L",0,"M",0,"M",0,"M",0,"M",0,"M","low risk"
8,-0.592869927906977,"L",-0.919678789116279,"L",1.23082523316279,"H",-0.0323963395581395,"H",-0.397754751046512,"L",-0.215378587395349,"M",-0.181872359488372,"M",-0.706959774488372,"L",0,"M",0.0465116279069767,"M",0.0232558139534884,"H",0,"M",1,"H","medium risk"
9,-0.120421610073395,"M",1.2401154636422,"H",-0.295591639366973,"L",-0.273277545990826,"L",0.130966542550459,"M",-0.245013209834862,"M",0.0802568367247707,"M",1.1354062603945,"H",0.871559633027523,"H",0.55045871559633,"M",0.0917431192660551,"H",0,"M",0.00917431192660551,"H","medium risk"
10,0.63521133965,"H",0.5911605384,"M",-0.61300186415,"L",-0.31085690625,"L",-0.1776170525,"M",1.7880619333,"H",-0.269247388,"M",0.53683890385,"M",0.5,"H",0.1,"M",0.05,"H",0,"M",0.05,"H","medium risk"
11,0.312541826833333,"M",1.01066545908333,"H",-1.04323035366667,"L",0.559913452166667,"H",4.90255839325,"H",-0.171993551333333,"M",-0.538297259,"L",0.288301078083333,"M",0,"M",0.25,"M",0,"M",0,"M",0,"M","medium risk"
