"centroid_id","all_spp_cpue_2020_std","all_spp_cpue_2020_std_sd","all_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,-0.0234041132916667,0.54463726778054,"M",1.00488066045833,0.539091026161217,"H",-0.983146724041667,0.318381160239498,"L",0.301962250541667,0.57323394474937,"H",2.93018620783333,0.637564671855201,"H",-0.149532974083333,0.290350308267453,"M",-0.481872322875,0.166377087899045,"L",0.476653072708333,0.664930895600192,"M",0.0416666666666667,0.204124145231932,"H",0.0833333333333333,0.28232985128664,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
2,-0.2630515801,0.582208799696892,"M",-0.9793719479,0.333413057942435,"L",1.1215134217,0.294522112535114,"H",0.000597276900000001,0.263396800391409,"H",-0.3216174012,0.429403703604277,"M",-0.2553317829,0.177162958823347,"M",-0.5588223353,0.248758973076866,"L",-0.7776727432,0.120585341054176,"L",0.7,0.483045891539648,"H",0.1,0.316227766016838,"M",0.2,0.421637021355784,"H",0.4,0.516397779494322,"H",0,0,"M","medium attention"
3,-0.193584932941177,0.391586029665365,"M",-0.222886788294118,0.331988963949409,"L",-0.0859764717058824,0.314101127061504,"M",-0.0554842388235294,0.252168090862904,"H",1.50807091182353,0.584462614796692,"H",-0.317669095882353,0.0557936252015256,"L",-0.604072387647059,0.175544704209771,"L",-0.515583047,0.261915777902796,"L",0.235294117647059,0.437237316097603,"H",0.0588235294117647,0.242535625036333,"M",0.588235294117647,0.507299656195892,"H",0,0,"M",0.235294117647059,0.437237316097603,"H","high attention"
4,4.18003736841935,0.896671860081794,"H",-0.259942876225806,0.49988855204887,"L",-0.633246660580645,0.458639364226302,"L",-0.26899241116129,0.124309127833042,"L",-0.201226671193548,0.444313113180537,"M",-0.242238725774194,0.220791702973258,"M",-0.725218282451613,0.113634895178099,"L",-0.501329722193548,0.431297896325145,"L",0,0,"M",0.741935483870968,0.444802722974569,"M",0,0,"M",0,0,"M",0.258064516129032,0.444802722974569,"H","medium attention"
5,-0.337645936551724,0.386945564690395,"L",-0.670405546068966,0.184562401113894,"L",0.380796727931034,0.294375174829263,"M",0.0704736656896552,0.260426407073748,"H",-0.438359176034483,0.196793152412403,"L",-0.296503035413793,0.163304354417239,"M",-0.75318468162069,0.098292291654527,"L",-0.778224335275862,0.0901560403130579,"L",0,0,"M",1,0,"M",0.0344827586206897,0.185695338177052,"H",0,0,"M",0,0,"M","medium attention"
6,-0.5232352446,0.134235165462497,"L",-0.85070709415,0.121487133228351,"L",1.13935601415,0.175639353613309,"H",-0.18160279055,0.10831243649262,"M",-0.3142671964,0.205068641589326,"M",-0.2818668987,0.158152954293785,"M",0.8881821151,0.350466790315134,"H",-0.2794077307,0.155806384355042,"L",0.05,0.223606797749979,"H",1,0,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
7,-0.61620857375,0.0297877211040886,"L",-1.39860475375,0.0210577982513724,"L",1.147324367,0.0745012454555843,"H",9.1345514971875,0.432343383042603,"H",-0.521591503,0,"L",-0.3928664381875,0.01290692325,"L",-1.7567951753125,0.128106644458884,"L",-1.0189444135,0.0302437149238301,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","low attention"
8,-0.593317436,0.109189521883587,"L",-1.10091221161111,0.161060063582975,"L",1.39083845833333,0.140608623524129,"H",0.0655747641666667,0.140105085506776,"H",-0.433919084333333,0.174077885141901,"L",-0.295495091055556,0.245533713168446,"M",0.116544343666667,0.302326184649316,"M",-0.653742461611111,0.146702101440886,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",1,0,"H","medium attention"
9,0.135463401590909,0.567090973819703,"M",0.998567442977273,0.198682063000085,"H",-0.0454052216818182,0.177199469833339,"M",-0.277662133113636,0.0179276138299388,"L",0.133953177363636,0.445278438672194,"M",-0.163078341340909,0.313049181822039,"M",0.0780724215681818,0.103603664359758,"M",0.882371046909091,0.433973018400088,"H",1,0,"H",0.181818181818182,0.390153653257413,"M",0.0909090909090909,0.290803363451153,"H",0,0,"M",0.0227272727272727,0.150755672288882,"H","medium attention"
10,0.967577894583333,0.659705257636735,"H",0.283389246916667,0.340772938436093,"M",-1.16091830191667,0.673850075585636,"L",-0.318367428666667,0.032425207176212,"L",-0.318571060083333,0.371293560941489,"M",1.27263281183333,0.378595747515053,"H",-0.55675589925,0.221450864287406,"L",0.359574544166667,0.705821451655185,"M",0.166666666666667,0.389249472080761,"H",0.166666666666667,0.389249472080761,"M",0,0,"M",0,0,"M",0.166666666666667,0.389249472080761,"H","medium attention"
11,-0.635273534045454,0.131580838053129,"L",0.00233214690909091,0.450767585952773,"M",0.427099131045455,0.281402646518081,"M",-0.399870603136364,0.0423692643876,"L",3.52158951472727,0.379514105092715,"H",-0.0823237949545454,0.259626815411959,"H",2.42870861309091,0.110106330885697,"H",-0.235189709272727,0.115411452599542,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0.0909090909090909,0.29424494316825,"H","medium attention"
12,-0.271617973571429,0.336666506067189,"M",-0.657520302047619,0.212920850890913,"L",0.0781288907619048,0.305460150994427,"M",0.0792162266666667,0.208574306832631,"H",-0.350068503904762,0.201158732345158,"M",-0.242113936619048,0.120644283689312,"M",-0.843524699904762,0.0746230439641825,"L",-0.845818588904762,0.0562548747533666,"L",0,0,"M",0,0,"M",0.19047619047619,0.402373908081478,"H",0,0,"M",1,0,"H","medium attention"
13,-0.750112642,0,"L",-1.355467207,0,"L",1.582995352,0,"H",4.516596277,0,"H",-0.509090723,0,"L",-0.393815477,0,"L",-1.787365574,0,"L",-0.932851483,0,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",1,0,"H","low attention"
14,-0.221283336340909,0.308716850524113,"M",1.41477651025,0.274523938777676,"H",-0.28148508925,0.108116116588954,"L",-0.266382300522727,0.015849325158554,"L",0.277462174204545,0.475450555307726,"M",-0.275409986045455,0.104724954861434,"M",0.242651901704546,0.0755718171919764,"H",1.36206513263636,0.323269694101772,"H",1,0,"H",1,0,"M",0.0227272727272727,0.150755672288882,"H",0,0,"M",0,0,"M","medium attention"
15,-0.410685609,0.188127494367933,"L",-0.0191583942777778,0.129787361455728,"L",0.905617274611111,0.0689040133809303,"H",-0.100891957,0.057065265748727,"M",-0.3997240015,0.0914870230612625,"L",-0.215564962055556,0.146855851378427,"M",0.0840897646666667,0.19854649450896,"M",-0.176207981444444,0.197575120027265,"M",0,0,"M",1,0,"M",0.333333333333333,0.485071250072666,"H",0,0,"M",0,0,"M","medium attention"
16,-0.4664407595,0.210361969412387,"L",-0.639150735285714,0.298290459125807,"L",0.946454580285714,0.191556703643861,"H",-0.114096061142857,0.129295237737606,"M",0.517441587428571,0.235343611164018,"H",-0.12987432,0.325873749002709,"M",0.6772749795,0.28503256203469,"H",-0.177755837857143,0.277400207974536,"M",0.0714285714285714,0.267261241912424,"H",0.928571428571429,0.267261241912424,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
17,0.373617835,1.19768990077297,"M",-0.8011412616,0.357702744509952,"L",1.1134284262,0.434945558992839,"H",-0.0678875762,0.163838743874359,"H",-0.42757669,0.164417124233864,"L",8.5315497046,1.90564947033678,"H",0.7794144134,0.852350274426505,"H",-0.5200081104,0.216601902822629,"L",0,0,"M",0.2,0.447213595499958,"M",0,0,"M",0,0,"M",0.2,0.447213595499958,"H","medium attention"
18,-0.481048069642857,0.358020670853218,"L",-0.108222966428571,0.467082113314757,"L",0.5703469485,0.316354784934112,"M",-0.391312722857143,0.0705619214041329,"L",2.7392210135,0.741121069556211,"H",1.76879916385714,0.664639507995243,"H",2.429173525,0.0703945351802988,"H",-0.273401093214286,0.156842472747729,"L",0,0,"M",0,0,"M",0.214285714285714,0.42581531362632,"H",0,0,"M",0.0714285714285714,0.267261241912424,"H","high attention"
