"centroid_id","all_spp_cpue_2020_std","all_spp_cpue_2020_std_sd","all_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,-0.543752331416901,0.126032061182642,"M",-0.128872936444292,0.302501147927594,"H",0.233079745172961,0.478873299820326,"L",-0.181509583110017,0.0503950274865292,"L",1.68798118361022,0.627911518445646,"H",-0.348641245609071,0.048533115403936,"L",-0.199934643993177,0.702298289102065,"L",-0.311163411863955,0.209546627404978,"H",0,0,"M",0,0,"M",0.75,0.462910049886276,"H",0,0,"M",0.125,0.353553390593274,"H","high attention"
2,-0.627395215309652,0.132337581071539,"L",-1.03223902064871,0.116229309725032,"L",0.822378629979937,0.277346752679692,"L",0.326944335891197,0.228923179462219,"H",-0.354594733531594,0.210537580630858,"M",-0.318181629866844,0.140650340016732,"L",-0.773227907585796,0.0239316667358179,"L",-0.846388541776402,0.0543145969122936,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
3,-0.55924949804206,0.0393981699218152,"M",-0.879604148193444,0.133964745275993,"L",0.932608937539245,0.172711696430301,"L",-0.116951781901762,0.0251313416625415,"L",0.166382967620732,0.593547802463365,"H",-0.235136244276462,0.176491355636067,"M",-0.742606230821339,0.0168592316219851,"L",-0.825595060724681,0.0413750327077232,"L",0.25,0.5,"H",0,0,"M",0.5,0.577350269189626,"H",0.75,0.5,"H",0,0,"M","low attention"
4,-0.622858893094491,0.240367594888536,"L",-0.863053942946043,0.193398733918631,"L",0.911302373403067,0.319505593129116,"L",0.379662028554078,0.389394228003795,"H",-0.262728999373218,0.337969273528365,"M",-0.224723936461908,0.226910079978005,"M",-0.684664507339769,0.0759498707996395,"L",-0.722545387418121,0.0887749718600085,"L",0,0,"M",1,0,"H",0,0,"M",0,0,"M",0.0476190476190476,0.218217890235992,"H","medium attention"
5,-0.68910276655129,0.0417912736513587,"L",-1.25559417581572,0.0861799756279444,"L",1.41180195957318,0.10281459419977,"H",4.4658918415151,1.69676380814357,"H",-0.494858164966618,0.0395717613393026,"L",-0.346490091737662,0.0716939404596953,"L",-0.962291134856106,0.288795527841537,"L",-0.860948881786356,0.0341558711189538,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0.0833333333333333,0.288675134594813,"H","low attention"
6,-0.614054663832581,0.133249385184845,"L",-1.03294300969563,0.20571120205471,"L",1.25247437988327,0.166536305937928,"H",0.0869394248653936,0.195462492537971,"M",-0.484134365517308,0.0691973318161573,"L",-0.267599905135056,0.196635919518805,"M",-0.261387153731579,0.174904517786454,"L",-0.734109040491272,0.0518713727736712,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
7,-0.55338010595104,0.275699905666624,"M",-1.05553276049274,0.316585041966398,"L",1.24977110945716,0.159141596252429,"H",-0.0817193671435056,0.0474572910199421,"L",-0.518362401043157,0.0055929679890056,"L",-0.374834707455058,0.0201303565855361,"L",-0.65216614658735,0.026691524107003,"L",-0.800728263852013,0.0424923507565628,"L",1,0,"H",0,0,"M",0,0,"M",0,0,"M",0,0,"M","low attention"
8,1.06633223626848,0.356488000745738,"H",-0.188908154042172,0.0935020809956631,"H",0.860790128241195,0.154461300804752,"L",-0.176178423217776,0.0284908099294881,"L",-0.444348835308045,0.0716558362520746,"L",-0.118214704442203,0.185585470253167,"M",-0.2517834901729,0.125099029295843,"L",-0.418029883468731,0.141576573344311,"M",0.142857142857143,0.377964473009227,"H",0.142857142857143,0.377964473009227,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
9,-0.505569583634626,0.290051953012346,"M",-0.940216967162116,0.218082471069357,"L",1.20860541896901,0.148461231291429,"M",0.0322510030210316,0.217613135851908,"M",-0.367132494452986,0.145983939903442,"M",1.12460141874641,0.445823525179682,"H",0.440667290098924,0.428942281324111,"M",-0.465279583166261,0.337911305620166,"M",0,0,"M",0.117647058823529,0.332105582077536,"H",0,0,"M",0,0,"M",0.235294117647059,0.437237316097603,"H","medium attention"
10,-0.453831988156576,0.227189471967081,"M",-0.481501780829314,0.4962075610367,"M",0.936965381153428,0.220929635077679,"L",-0.120802286175543,0.0950849067578295,"L",-0.241113409633405,0.386968879938409,"M",3.21828335248154,0.7393207709047,"H",0.332900026686784,0.582273575890059,"M",-0.365036986920458,0.279503955694115,"M",0.0384615384615385,0.196116135138184,"H",0.192307692307692,0.40191847623425,"H",0.192307692307692,0.40191847623425,"H",0,0,"M",0.115384615384615,0.325812593608421,"H","medium attention"
11,-0.490416404596636,0.294245295460705,"M",-1.07178493165348,0.153004028946563,"L",1.35060531078626,0.140407813988545,"H",0.050370724043155,0.161636945211858,"M",-0.477876074471969,0.0571524421215182,"L",-0.304542591245176,0.156923528406127,"L",0.392987549297415,0.232916152692134,"M",-0.592075931970743,0.0719805099713575,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
12,-0.565935366788937,0.108976095047536,"M",-0.854450210181608,0.228874017040383,"L",1.00167090431545,0.231232903888606,"L",-0.143150596742118,0.159299886832954,"L",-0.254138768116072,0.382442305412089,"M",-0.259861859951369,0.185902960146931,"M",0.914398047560939,0.233596437917752,"H",-0.178518732199463,0.462417090441083,"H",0.0333333333333333,0.182574185835055,"H",0,0,"M",0.0333333333333333,0.182574185835055,"H",0,0,"M",0,0,"M","medium attention"
13,-0.598116459351767,0.102293109963353,"L",-0.707516061895339,0.301973950165271,"M",1.16855573657301,0.165012718684591,"M",-0.123871282078826,0.0897461316746659,"L",-0.358791948824148,0.228480911045402,"M",-0.240330981179556,0.225773592796629,"M",-0.396198007025971,0.239033227851798,"L",-0.718742976332858,0.106809174450919,"L",0,0,"M",0,0,"M",0.0526315789473684,0.229415733870562,"H",0,0,"M",1,0,"H","medium attention"
14,-0.603347021224409,0.117925879509142,"L",-1.10027078297705,0.158235673175495,"L",1.36852531844744,0.153816427430425,"H",0.036050141165342,0.16663678692701,"M",-0.428574547713809,0.175763782944386,"L",-0.334553296725723,0.0978929726082952,"L",0.29287077743921,0.24972771129496,"M",-0.614424758925005,0.141768669714439,"L",0,0,"M",0.166666666666667,0.383482494423685,"H",0,0,"M",0,0,"M",1,0,"H","medium attention"
15,-0.508608278281381,0.159956691298651,"M",-0.829843851896219,0.123221928594976,"M",1.10273497716451,0.189576286072699,"M",-0.139834312253591,0.122719006086092,"L",0.0498955382947492,0.436838476425764,"H",-0.280239297690611,0.13131837559642,"M",0.724185739701311,0.164985968385714,"H",-0.266589288220787,0.179896544347693,"H",0,0,"M",1,0,"H",0,0,"M",0,0,"M",0.15625,0.368902032628474,"H","medium attention"
