"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_sd","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,-0.118806037921082,0.243816919868766,"M",0.0650366816942606,0.311863545861064,"H",-0.020992017414772,0.423926427592743,"L",-0.197774989237938,0.0585684416436576,"L",1.32065490790139,0.614803891195043,"H",-0.224127397993366,0.364526719213763,"M",-0.291241203292228,0.493745840424073,"L",-0.0478607681894843,0.369817944608883,"H",0,0,"M",0,0,"M",0.375,0.5,"H",0,0,"M",0.0625,0.25,"H","medium attention"
2,7.18929197554386,0,"H",-0.643543205758256,0,"M",0.94302739783476,0,"L",0.0109722193996711,0,"M",0.186157225542316,0,"H",1.72823454800533,0,"H",0.753337661202565,0,"H",-0.160075943944353,0,"H",0,0,"M",1,0,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
3,-0.139833756812224,0.172413977831208,"M",-0.582374543530987,0.280869215260694,"M",0.453786810607116,0.369720844633019,"L",-0.0144133935651402,0.139843304627922,"M",-0.137439618128663,0.38410054028955,"H",-0.28395808431454,0.158522526304098,"M",-0.625364570370573,0.163267847783882,"L",-0.643366311592409,0.181651628104687,"L",0,0,"M",0,0,"M",0.0434782608695652,0.208514414057075,"H",0,0,"M",0,0,"M","medium attention"
4,-0.261984093573514,0.377928987557202,"L",-0.828200960008088,0.228678054774886,"M",0.891222760127706,0.29914923706242,"L",0.311040412784296,0.355370413314237,"H",-0.272309733086238,0.342399963039408,"M",-0.217095474833885,0.226850089508893,"M",-0.66359082411935,0.118060492965276,"L",-0.715550586036052,0.0977404069318306,"L",0,0,"M",1,0,"H",0,0,"M",0,0,"M",0.0476190476190476,0.218217890235992,"H","medium attention"
5,-0.406873636543611,0.0680044174429373,"L",-1.25559417581572,0.0861799756279444,"L",1.41180195957318,0.10281459419977,"H",4.4658918415151,1.69676380814357,"H",-0.494858164966618,0.0395717613393026,"L",-0.346490091737662,0.0716939404596953,"L",-0.962291134856106,0.288795527841537,"L",-0.860948881786356,0.0341558711189538,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0.0833333333333333,0.288675134594813,"H","low attention"
6,-0.00759277765197933,0.328976421330465,"M",-0.207844707474645,0.291184371181409,"H",0.964629233188884,0.110742440924524,"L",-0.115854393359828,0.10065491092621,"L",-0.342443129202122,0.237629499302793,"M",-0.22714199078894,0.258429448492125,"M",-0.0875858704735858,0.21509058889222,"L",-0.366945300927227,0.230854005211557,"M",0,0,"M",0.352941176470588,0.492592183071889,"H",1,0,"H",0,0,"M",0,0,"M","medium attention"
7,-0.38772843923392,0.158427156496703,"L",-1.08299911990751,0.112587336923836,"L",0.999329973810887,0.254629626866173,"L",0.499656430771439,0.308054379774655,"H",-0.418604670794619,0.122821340720123,"M",-0.325105091486591,0.114239516301698,"L",-0.695362204713628,0.175787917480341,"L",-0.837028410639418,0.0632092853665599,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
8,0.846095116087493,0.640860494757229,"H",-0.25469727915696,0.304005345958597,"H",0.72076658222535,0.348154433811428,"L",-0.115994642231061,0.166303333046705,"L",-0.319354120169555,0.258001265025509,"M",-0.176986068768573,0.278918525509449,"M",-0.192797737595939,0.349643497775567,"L",-0.420189203300111,0.200300171827667,"M",0.0454545454545455,0.21320071635561,"H",0,0,"M",0,0,"M",0,0,"M",0.0454545454545455,0.21320071635561,"H","medium attention"
9,-0.547416027328319,0.0165055221329997,"L",-1.10682153595953,0.0991575951889311,"L",1.41146439435616,0.00690369003895286,"H",1.85712484344535,0.0692479922203294,"H",-0.397883875212789,0.192197491410121,"M",1.5652530076303,0.229690002529236,"H",-0.81538065165657,0.0265893582982818,"L",-0.817496765818874,0.0240689015738774,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
10,0.073856156576748,0.386421742122685,"H",-0.605741580259618,0.407033409361305,"M",0.983958304367116,0.232175029997932,"L",-0.114060772929045,0.185745338413048,"L",-0.299539392387548,0.252240403731367,"M",6.42114844925649,1.82562187888271,"H",0.768753135185139,0.588498440628653,"H",-0.375493648460496,0.182829883373786,"M",0,0,"M",0.285714285714286,0.468807230938495,"H",0,0,"M",0,0,"M",0.285714285714286,0.468807230938495,"H","medium attention"
