"centroid_id","cod_cpue_2020_std","cod_cpue_2020_std_sd","cod_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,-0.0894904655022564,0.237300981695493,"H",0.0650366816942606,0.311863545861064,"H",-0.020992017414772,0.423926427592743,"L",-0.197774989237938,0.0585684416436576,"L",1.32065490790139,0.614803891195043,"H",-0.224127397993366,0.364526719213763,"M",-0.291241203292228,0.493745840424073,"L",-0.0478607681894843,0.369817944608883,"H",0,0,"M",0,0,"M",0.375,0.5,"H",0,0,"M",0.0625,0.25,"H","high attention"
2,7.95370393692494,0,"H",-0.643543205758256,0,"M",0.94302739783476,0,"L",0.0109722193996711,0,"M",0.186157225542316,0,"H",1.72823454800533,0,"H",0.753337661202565,0,"H",-0.160075943944353,0,"H",0,0,"M",1,0,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
3,-0.349557644202454,0.117842283198091,"M",-1.09727905632151,0.135234747177429,"L",1.30723867822185,0.178599446649144,"H",1.67807194958849,0.480922747785408,"H",-0.397653452639338,0.146085998792842,"M",-0.0455953065002147,0.541262657610019,"M",-0.665625847436038,0.322818609564027,"L",-0.772396870752713,0.0893933417627479,"L",0,0,"M",0.162162162162162,0.373683876611822,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
4,0.165467274843932,0.505250764674093,"H",-0.226731177378496,0.297979480120512,"H",0.813551418834468,0.311050453257196,"L",-0.0827604075649091,0.126863313760161,"L",-0.236150947632109,0.354285557754287,"M",0.0610812592012895,0.495568987871665,"M",-0.103713942137124,0.35753578385655,"L",-0.368490852472854,0.237859517679652,"M",0.0238095238095238,0.153370994900858,"H",0.392857142857143,0.491318784518416,"H",0.19047619047619,0.395035166230561,"H",0,0,"M",0.0119047619047619,0.109108945117996,"H","high attention"
5,-0.312957683825148,0.0539045264065521,"M",-1.25559417581572,0.0861799756279444,"L",1.41180195957318,0.10281459419977,"H",4.4658918415151,1.69676380814357,"H",-0.494858164966618,0.0395717613393026,"L",-0.346490091737662,0.0716939404596953,"L",-0.962291134856106,0.288795527841537,"L",-0.860948881786356,0.0341558711189538,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0.0833333333333333,0.288675134594813,"H","medium attention"
6,-0.43318268869785,0.0312535397756423,"L",-0.821324152983463,0.206726078684612,"M",0.99462306191436,0.232139637222136,"L",-0.158464806310668,0.140072386043653,"L",-0.264985942648281,0.357406280883966,"M",-0.185942347221545,0.311244134667345,"M",1.1163344200172,0.424677240579074,"H",-0.295082260241818,0.284949247455055,"H",0.00934579439252336,0.0966736489045664,"H",0.252336448598131,0.436397299161636,"H",0.0186915887850467,0.136070764831361,"H",0,0,"M",0.0747663551401869,0.264251687466783,"H","high attention"
7,-0.232210909519081,0.262926324622545,"M",-0.960516096082492,0.222950712737808,"L",1.04707625481494,0.346427461336669,"M",0.141570075504286,0.258779254346024,"H",-0.379471592779263,0.25684640643125,"M",-0.227721326863742,0.314360580484208,"M",-0.393792122390318,0.375262402419055,"L",-0.735154031630314,0.0956780635751646,"L",0.0373831775700935,0.190591613431868,"H",0.121495327102804,0.328239453949249,"H",0.0560747663551402,0.231148718807422,"H",0.0280373831775701,0.165856492027911,"H",0,0,"M","medium attention"
8,-0.163808478642242,0.305636858574179,"M",-0.460766424714045,0.47695090553342,"H",0.988051423705144,0.215518729534413,"L",-0.0908180114691705,0.176755560756806,"L",-0.299503255715489,0.226354075749333,"M",2.42678526626586,0.904472838148569,"H",0.251473638254488,0.537947968088748,"M",-0.358883090131187,0.320709993697974,"M",0.0256410256410256,0.160128153805087,"H",0.256410256410256,0.442359030054757,"H",0.153846153846154,0.365517768195196,"H",0,0,"M",0.0769230769230769,0.269952762399508,"H","high attention"
9,-0.311052357144099,0.195412002258198,"M",-0.913130773102093,0.299379644071348,"L",1.25418777726093,0.19393226968278,"H",-0.032172558032595,0.169476202253886,"M",-0.283942005689613,0.351469432498499,"M",-0.238932398167185,0.314002642190308,"M",0.042390954885006,0.471913099962619,"M",-0.62571487188312,0.175570807335122,"L",0,0,"M",0.191489361702128,0.397727122553644,"H",0.0212765957446809,0.145864991497895,"H",0,0,"M",1,0,"H","medium attention"
10,-0.265367627525707,0.302804454945658,"M",-0.633345367235507,0.380050885923072,"M",0.977716679417259,0.228167231413772,"L",-0.106509223351195,0.174126027713811,"L",-0.171596012436598,0.482325485921537,"H",6.07773369409339,1.81516763672646,"H",0.771344502331711,0.592270153379092,"H",-0.397371438413842,0.181079299214287,"M",0,0,"M",0.235294117647059,0.437237316097603,"H",0,0,"M",0,0,"M",0.352941176470588,0.492592183071889,"H","medium attention"
